"","Movie id","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","IMAX","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","No Genres unlisted"
"1","169","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2","605","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"3","1104","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4","1203","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"5","1566","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"6","2137","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2329","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8","2567","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","2747","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10","2858","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"11","2926","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"12","2959","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"13","3034","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"14","3157","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15","3273","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"16","3791","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"17","4973","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"18","6296","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"19","7361","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0"
"20","8784","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"21","46976","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
"22","47382","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"23","56949","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"24","58107","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0"
"25","58559","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"26","AVG","0.08","0.12","0.12","0.2","0.48","0.12","0","0.6","0.08","0","0.08","0.04","0.16","0.04","0.36","0.04","0.08","0","0","0"
